ID	parentID	status	scientificName	authorship	rank	link
10002	x36P	accepted	Nanger dama	(Pallas, 1766)	species	https://www.speciesplus.net/species#/taxon_concepts/10002/legal
10005	2110	accepted	Indri indri	(Gmelin, 1788)	species	https://www.speciesplus.net/species#/taxon_concepts/10005/legal
100209	xFW	accepted	Tiliqua adelaidensis	Peters, 1863	species	https://www.speciesplus.net/species#/taxon_concepts/100209/legal
10032	xDD	accepted	Amazona barbadensis	(Gmelin, 1788)	species	https://www.speciesplus.net/species#/taxon_concepts/10032/legal
10039	x363	accepted	Mustela nigripes	(Audubon & Bachman, 1851)	species	https://www.speciesplus.net/species#/taxon_concepts/10039/legal
100472	x354	accepted	Kinosternon vogti	López-Luna, Cupul-Magaña, Escobedo-Galván, González-Hernández, Centenero-Alcalá, Rangel-Mendoza, Ramírez-Ramírez & Cazares-Hernández, 2018	species	https://www.speciesplus.net/species#/taxon_concepts/100472/legal
100473	x354	accepted	Kinosternon cora	Loc-Barragán, Reyes-Velasco, Woolrich-Piña, Grünwald, Anaya, Rangel-Mendoza & López-Luna, 2020	species	https://www.speciesplus.net/species#/taxon_concepts/100473/legal
1005	458	accepted	Nomascus		genus	https://www.speciesplus.net/species#/taxon_concepts/1005/legal
10054	xG2	accepted	Gymnogyps californianus	(Shaw, 1898)	species	https://www.speciesplus.net/species#/taxon_concepts/10054/legal
10071	x3CN	accepted	Tremarctos ornatus	(F. G. Cuvier, 1825)	species	https://www.speciesplus.net/species#/taxon_concepts/10071/legal
10076	1956	accepted	Nectophrynoides tornieri	(Roux, 1906)	species	https://www.speciesplus.net/species#/taxon_concepts/10076/legal
10078	x8J	accepted	Brachyteles arachnoides	(É. Geoffroy, 1806)	species	https://www.speciesplus.net/species#/taxon_concepts/10078/legal
10095	1343	accepted	Tapirus pinchaque	(Roulin, 1829)	species	https://www.speciesplus.net/species#/taxon_concepts/10095/legal
10096	x9T	accepted	Crocodylus palustris	Lesson, 1831	species	https://www.speciesplus.net/species#/taxon_concepts/10096/legal
10099	795	accepted	Microcebus murinus	(J. F. Miller, 1777)	species	https://www.speciesplus.net/species#/taxon_concepts/10099/legal
101074	2530	accepted	Cheirogaleus andysabini	Lei, McLain, Frasier, Taylor, Bailey, Engberg, Ginter, Nash, Randriamampionona, Groves, Mittermeier & Louis Jr, 2015	species	https://www.speciesplus.net/species#/taxon_concepts/101074/legal
101075	2530	accepted	Cheirogaleus shethi	Frasier, Lei, McLain, Taylor, Bailey, Ginter, Nash, Randriamampionona, Groves, Mittermeier & Louis Jr, 2016	species	https://www.speciesplus.net/species#/taxon_concepts/101075/legal
101076	795	accepted	Microcebus ganzhorni	Hotaling, Foley, Lawrence, Bocanegra, Blanco, Rasoloarison, Kappeler, Barrett, Yoder & Weisrock, 2016	species	https://www.speciesplus.net/species#/taxon_concepts/101076/legal
101077	795	accepted	Microcebus manitatra	Hotaling, Foley, Lawrence, Bocanegra, Blanco, Rasoloarison, Kappeler, Barrett, Yoder & Weisrock, 2016	species	https://www.speciesplus.net/species#/taxon_concepts/101077/legal
101097	903	accepted	Brachylophus gau	Fisher, Niukula, Watling & Harlow, 2017	species	https://www.speciesplus.net/species#/taxon_concepts/101097/legal
10120	xFK	accepted	Leopardus pardalis	(Linnaeus, 1758)	species	https://www.speciesplus.net/species#/taxon_concepts/10120/legal
101259	xV4	accepted	Aloestrela suzannae	(Decary) Molteno & Gideon F.Sm.	species	https://www.speciesplus.net/species#/taxon_concepts/101259/legal
101272	xHC	accepted	Equus hemionus luteus	Matschie, 1911	subspecies	https://www.speciesplus.net/species#/taxon_concepts/101272/legal
