taxonID	name	language
258	sea turtle	eng
258	Tortugas Marinas	spa
258	Sea turtles	eng
258	Tortues Marines	fra
258	Marine Turtles	eng
278	Rinocerontes	spa
278	Rhinoceroses	eng
278	Rhinocéros	fra
388	Lémures Saltadores	spa
388	Mégalapidés	fra
390	Lémures Enanos	spa
390	Chirogales	fra
458	Gibbons	fra
458	Gibones	spa
484	Peces Sierra	spa
484	Poissons-Scies	fra
484	Sawfishes	eng
531	Tortuga De Cabeza Ancha	spa
531	Tortue À Grosse Tête	fra
531	Big-Headed Turtle	eng
535	Sifakas	eng
535	Lémures Lanudos	spa
535	Avahis Laineux	fra
535	Indris	fra
535	Sifakas	fra
535	Indris	eng
535	Woolly Lemurs	eng
535	Avahi	eng
535	Sifacas	spa
535	Avahis	spa
535	Indirs	spa
557	Lémuridés	fra
557	Large Lemurs	eng
557	Lémures Grandes	spa
568	Tapires	spa
568	Tapirs	eng
568	Tapirs	fra
3052	Hump Whale	eng
3052	Ballena jorobada	spa
3052	Hunchbacked Whale	eng
3052	Bunch	eng
3052	Humpback Whale	eng
3052	Yubarta	spa
3052	Gubarte	spa
3052	Baleine à bosse	fra
3052	Jorobada	spa
3052	Rorqual du Cap	fra
3052	Rorqual à bosse	fra
3052	Jubarte	fra
3052	Rorcual jorobado	spa
3052	Mégaptère	fra
3052	Baleine à taquet	fra
3057	Giant Panda	eng
3057	Panda gigante	spa
3057	Panda géant	fra
3057	Panda	fra
3080	Gacela de Cuvier	spa
3080	Gazelle de Cuvier	fra
3080	Idmi	eng
3080	Cuvier's Gazelle	eng
3080	Edmi	fra
3080	Edmi Gazelle	eng
3167	Gato montés común	spa
3167	Chat de Geoffroy	fra
3167	Geoffroy's Cat	eng
3167	Gato de Geoffroy	spa
3167	Gato de mato	spa
3194	Sapo vivíparo de África occidental	spa
3194	Nectophrynoide du Mont Nimba	fra
3194	Western Nimba Toad	eng
3194	Mount Nimba Viviparous Toad	eng
3198	Palau Flying-fox	eng
3198	Zorro volador de Palau	spa
3198	Roussette des îles Palau	fra
3198	Pelew flying fox	eng
3223	Hume's Pheasant	eng
3223	Mrs. Hume's pheasant	eng
3223	Hume's Bar-tailed Pheasant	eng
3223	Faisan de Hume	fra
3223	Faisan à queue barrée	fra
3223	Faisan de Birmanie	fra
3223	Faisán de Hume	spa
3223	Mrs Hume's Pheasant	eng
3226	Moule perlée	fra
3226	Fat Pocketbook Pearly Mussel	eng
3226	Fat Pocketbook	eng
3226	Mejillón gordo de bolsillo	spa
3239	Botsami softshell	eng
3239	Bostami Turtle	eng
3239	Black Softshell Turtle	eng
3239	Tortuga sombría	spa
3239	Tortuga oscura de caparazón blando	spa
3239	Black soft-shell turtle	eng
3239	Trionyx sombre	fra
3239	Trionyx noirâtre	fra
3253	Cerceta de Campbell	spa
3253	Cerceta alicorta de Campbell	spa
3253	Campbell Island Flightless Teal	eng
3253	Campbell teal	eng
3253	Campbell Island Teal	eng
3253	Sarcelle de Campbell	fra
3253	Sarcelle de l’île Campbell	fra
3255	Asno salvaje de África	spa
3255	Ass	eng
3255	Asno salvaje de africa	spa
3255	African wild ass	eng
3255	African Ass	eng
3255	Âne sauvage d'Afrique	fra
3255	Ane sauvage d'Afrique	fra
3283	Lemur cariancho	spa
3283	Grey Gentle Lemur	eng
3283	Lesser bamboo lemur	eng
3283	Bamboo lemur	eng
3283	Petit hapalémur	fra
3283	Eastern lesser bamboo lemur	eng
3283	Lémur cariancho	spa
3283	Hapalémur gris	fra
3317	Mejillón de agua dulce	spa
3317	Unio nickliniana	fra
3317	Nicklin's Pearly Mussel	eng
3348	Japanese Otter	eng
3348	Loutre japonaise	fra
3348	Nutria japonesa	spa
3364	Manchurian Crane	eng
3364	Japanese Crane	eng
3364	Grulla de Manchuria	spa
3364	Grulla manchú	spa
3364	Grue de Mandchourie	fra
3364	Grue du Japon	fra
3364	Grue blanche du Japon	fra
3364	Red-crowned Crane	eng
3370	Zorro volador de las islas Palau	spa
3370	Large Palau flying fox	eng
3370	Large Palau Flying-fox	eng
3370	Large Pelew flying fox	eng
3370	Gran zorro volador de Palau	spa
